year;region;energy_co2e_t;energy_co2e_t_percapita;industry_co2e_t;industry_co2e_t_percapita;traffic_co2e_t;traffic_co2e_t_percapita;buildings_co2e_t;buildings_co2e_t_percapita;agriculture_co2e_t;agriculture_co2e_t_percapita;waste_co2e_t;waste_co2e_t_percapita;fluorinated_gases_co2e_t;fluorinated_gases_co2e_t_percapita;total_co2e_t;total_co2e_t_percapita;population
1990;Burgenland;1569.74797927;0.00578959;106080.20596453;0.39124786;510676.97515202;1.88349251;461402.79556440;1.70175816;325350.75465929;1.19996738;184842.65080264;0.68174162;4660.65324533;0.01718955;1594583.78336748;5.88118666;271133
1991;Burgenland;10050.42265796;0.03682134;109992.95241861;0.40297692;568141.46958727;2.08147788;538703.22271539;1.97362612;322318.54456387;1.18086596;188934.13182127;0.69219066;6451.85414662;0.02363741;1744592.59791099;6.39159629;272951
1992;Burgenland;26395.37705904;0.09600309;107182.14460872;0.38983406;568224.30576211;2.06669857;488630.79854950;1.77720763;309690.33783183;1.12638015;190556.19290563;0.69307527;6597.52959048;0.02399599;1697276.68630731;6.17319476;274943
1993;Burgenland;14229.31964219;0.05156335;114508.71381174;0.41494979;575003.43961163;2.08366287;507919.62882954;1.84056860;301935.14057542;1.09413440;190006.15404718;0.68853287;14674.53691853;0.05317670;1718276.93343622;6.22658859;275958
1994;Burgenland;21924.11448191;0.07917472;115339.64961010;0.41652697;577254.62644219;2.08464409;453665.58829545;1.63832604;298961.88843661;1.07964338;183205.01775638;0.66160970;16491.54873953;0.05955606;1666842.43376218;6.01948096;276908
1995;Burgenland;21146.84685346;0.07615299;112770.00047635;0.40610179;589830.78604954;2.12406968;511460.59135536;1.84184678;305845.87328048;1.10139715;175799.64724257;0.63308106;21272.79380395;0.07660654;1738126.53906171;6.25925600;277689
1996;Burgenland;12167.79116198;0.04381584;117567.20651544;0.42335591;652862.88279650;2.35093925;586956.93822401;2.11361396;306427.65639996;1.10343661;167407.25579234;0.60282840;24029.66359204;0.08653008;1867419.39448226;6.72452006;277703
1997;Burgenland;71349.48048872;0.25723761;125135.36396705;0.45115285;613403.54450385;2.21151519;548009.54125308;1.97574897;306743.92247394;1.10590956;162939.60260825;0.58744917;27461.07209036;0.09900591;1855042.52738524;6.68801926;277368
1998;Burgenland;66014.93722531;0.23834431;117676.96813421;0.42486801;692256.33076345;2.49936395;522705.31443801;1.88720675;298313.46267518;1.07704889;158437.54009403;0.57203244;31223.84578327;0.11273245;1886628.39911345;6.81159680;276973
1999;Burgenland;71486.25338875;0.25855289;97053.34611192;0.35102445;668615.11041510;2.41826028;539860.67783773;1.95257871;289611.38471071;1.04747215;147969.34433890;0.53517843;32551.26186342;0.11773204;1847147.37866653;6.68079895;276486
2000;Burgenland;35647.15296544;0.12911752;103282.13072896;0.37409812;706148.04238442;2.55773823;507385.25012297;1.83779968;278224.31718539;1.00775606;146681.54406372;0.53129510;30415.19699986;0.11016686;1807783.63445076;6.54797157;276083
2001;Burgenland;45890.21109435;0.16606972;113374.59039749;0.41028546;759519.03932911;2.74858427;548011.30670600;1.98316985;276621.08250996;1.00104976;139900.89743547;0.50628014;36212.47874191;0.13104747;1919529.60621428;6.94648666;276331
2002;Burgenland;81063.59926517;0.29318076;129214.02296133;0.46732523;843214.04609963;3.04963181;526299.44457749;1.90345445;269025.41729594;0.97297771;142427.82993233;0.51511528;40105.95649782;0.14505024;2031350.31662969;7.34673547;276497
2003;Burgenland;68771.47016021;0.24873850;126082.62633177;0.45602637;917307.07418527;3.31779426;525347.98978489;1.90012330;250496.21659273;0.90601602;152706.31557602;0.55232119;39126.00938991;0.14151428;2079837.70202081;7.52253392;276481
2004;Burgenland;12700.23552647;0.04578526;171024.58726414;0.61655588;936053.33167539;3.37453930;517034.52873932;1.86394650;251232.00087546;0.90570936;155135.14094230;0.55927329;38883.56613330;0.14017804;2082063.39115637;7.50598763;277387
2005;Burgenland;16241.81839679;0.05832604;189520.52781200;0.68058768;950233.03688867;3.41238441;466066.62673728;1.67369311;246241.56370052;0.88427874;150861.08420965;0.54175764;45120.09526988;0.16203090;2064284.75301479;7.41305852;278466
2006;Burgenland;16715.41453452;0.05978545;194917.32873275;0.69715415;898591.17848233;3.21396037;467274.80540607;1.67128583;238427.97424875;0.85277719;142496.69247636;0.50966305;41093.79949643;0.14697879;1999517.19337722;7.15160483;279590
2007;Burgenland;18399.61702891;0.06560303;202907.12493680;0.72345651;908333.43532586;3.23862329;405214.59976992;1.44477500;238473.25888765;0.85026601;132979.80222866;0.47413369;42867.88459835;0.15284357;1949175.72277614;6.94970112;280469
2008;Burgenland;18918.38188599;0.06711240;185302.41015367;0.65735483;852412.00158576;3.02390641;394828.83881899;1.40064365;258742.65502179;0.91788193;125837.35432875;0.44640430;44774.62050438;0.15883664;1880816.26229933;6.67214016;281891
2009;Burgenland;18962.04409373;0.06695401;188510.39885188;0.66562056;830565.21906370;2.93268324;362029.69772404;1.27830831;246581.12909771;0.87066533;119460.87659425;0.42181023;47352.96346743;0.16720089;1813462.32889273;6.40324257;283210
2010;Burgenland;16930.96319499;0.05960725;189238.23507447;0.66623329;863083.50078629;3.03857704;385262.74364471;1.35635837;232365.54158757;0.81806754;114616.98250136;0.40352125;49632.58152404;0.17473677;1851130.54831341;6.51710151;284042
2011;Burgenland;15870.18001097;0.05568367;207119.24210207;0.72671888;833768.03249721;2.92544028;360329.78750328;1.26428843;242953.30935563;0.85244981;104288.85387064;0.36591810;50479.94836455;0.17711890;1814809.35370436;6.36761806;285006
2012;Burgenland;14250.97276084;0.04980367;201634.03861664;0.70466179;832793.21107953;2.91040917;311122.02866193;1.08729561;234658.60393594;0.82007459;98535.75118624;0.34435842;52126.55206051;0.18216959;1745121.15830163;6.09877285;286143
2013;Burgenland;7672.23248253;0.02673410;200287.85363079;0.69790843;884259.35489820;3.08122556;305788.98903656;1.06552998;239633.29029739;0.83500866;92516.37820881;0.32237581;51848.95669122;0.18066909;1782007.05524549;6.20945162;286983
2014;Burgenland;7662.94056637;0.02662676;209005.43058339;0.72624033;863926.56260801;3.00192349;275656.72581780;0.95783651;257821.42003887;0.89586339;87483.11818037;0.30398142;52715.11379772;0.18317152;1754271.31159252;6.09564341;287791
2015;Burgenland;6743.69909863;0.02331346;192582.32812114;0.66577127;882582.77794027;3.05115355;305755.44450051;1.05701905;249444.03828077;0.86234638;83097.16851348;0.28727302;55605.02556641;0.19223066;1775810.48202122;6.13910739;289262
2016;Burgenland;7567.62250384;0.02594646;209818.96181669;0.71938834;926046.75040873;3.17505734;321759.70640007;1.10319000;264344.85228571;0.90633660;78649.72764581;0.26965960;59693.98225116;0.20466765;1867881.60331201;6.40424601;291663
2017;Burgenland;10588.93637621;0.03624362;212480.76244250;0.72727534;952340.31582675;3.25965333;316342.02190995;1.08276979;251629.97269329;0.86127455;75225.13363481;0.25747924;63758.47879758;0.21823138;1882365.62168109;6.44292724;292160
2018;Burgenland;6178.56218708;0.02108969;209688.09680978;0.71574209;957472.39236043;3.26820311;304038.53214450;1.03779460;247409.70844953;0.84449973;72699.57049059;0.24815020;62392.42051535;0.21296813;1859879.28295726;6.34844754;292966
2019;Burgenland;9911.61191730;0.03372891;208825.58819097;0.71062709;960432.17700107;3.26832134;306009.80146041;1.04134200;247785.80994535;0.84320754;69059.94752172;0.23500889;60216.44812029;0.20491473;1862241.38415711;6.33715050;293861
1990;Kärnten;473929.54718224;0.86742614;815951.32387017;1.49342346;1015726.85256524;1.85906962;976109.61035953;1.78655877;802945.45743135;1.46961902;316776.01910083;0.57979039;118947.74506168;0.21770827;4520386.55557103;8.27359568;546363
1991;Kärnten;381415.17315209;0.69342918;805035.42758078;1.46358901;1122409.22163001;2.04058821;1086668.78571801;1.97561056;790981.30349884;1.43803801;323760.85623317;0.58861115;202658.39916229;0.36844168;4712929.16697518;8.56830781;550042
1992;Kärnten;285817.87155413;0.51477290;738111.38999184;1.32937712;1119592.73917849;2.01644494;1039005.64856628;1.87130338;756062.01123679;1.36170713;321959.12262119;0.57986518;273778.56874969;0.49308949;4534327.35189840;8.16656014;555231
1993;Kärnten;325881.71949786;0.58304046;737596.30967409;1.31964595;1129500.08641003;2.02080758;983417.07982827;1.75944802;744540.82366773;1.33207050;319183.55367407;0.57105666;360975.99112336;0.64582821;4601095.56387541;8.23189738;558935
1994;Kärnten;301199.64160255;0.53764912;724857.14903472;1.29388869;1133527.38399418;2.02337560;903955.00691507;1.61358299;737445.93665771;1.31636001;310349.78573500;0.55398237;435416.34524635;0.77722940;4546751.24918557;8.11606818;560216
1995;Kärnten;339179.45540604;0.60429527;727510.54359917;1.29616100;1151149.84172563;2.05093321;994085.44494979;1.77110119;755110.22319451;1.34533366;289722.92852089;0.51618161;521779.30602029;0.92962225;4778537.74341632;8.51362819;561281
1996;Kärnten;496155.48630198;0.88330574;712882.82158760;1.26914548;1261452.22470383;2.24576373;1049775.96571449;1.86891643;737107.47442007;1.31227263;266582.76451794;0.47459737;431810.56711567;0.76875247;4955767.30436158;8.82275385;561703
1997;Kärnten;465798.74093748;0.82988658;798479.23331666;1.42260411;1189795.13167346;2.11978893;929186.87156659;1.65547832;722336.50684149;1.28694503;254628.50032783;0.45365682;631159.60287571;1.12450043;4991384.58753922;8.89286023;561280
1998;Kärnten;402187.18364655;0.71694698;750617.37294194;1.33806567;1334759.07487120;2.37936844;972980.24661350;1.73445421;722555.18470597;1.28804144;240888.79112006;0.42941322;513873.23920849;0.91604080;4937861.09310770;8.80233076;560972
1999;Kärnten;304083.17252601;0.54221075;750139.21552345;1.33757334;1288750.79304144;2.29797171;1024109.77075994;1.82609027;724125.28144965;1.29118789;231743.15134794;0.41322124;510826.85330567;0.91085543;4833778.23795411;8.61911062;560821
2000;Kärnten;507257.70171618;0.90560871;747599.37540263;1.33469143;1354679.07163227;2.41851265;901994.13063145;1.61033285;723066.48433332;1.29089278;219877.12574208;0.39254730;480759.11269986;0.85830070;4935233.00215780;8.81088642;560129
2001;Kärnten;624582.49391466;1.11583398;787402.99301598;1.40671733;1451021.68954171;2.59229058;958601.21398669;1.71256771;728073.87046340;1.30072421;209894.56909427;0.37498248;535093.17993196;0.95595884;5294670.00994867;9.45907513;559745
2002;Kärnten;492276.19713229;0.88035530;837686.52114890;1.49806506;1606086.44125304;2.87222239;878336.78873363;1.57076140;703940.89974454;1.25888293;203332.62824053;0.36362708;542849.06194670;0.97079658;5264508.53819963;9.41471074;559179
2003;Kärnten;579167.67608220;1.03734187;843000.20667550;1.50988988;1739093.79111680;3.11487481;956722.69013735;1.71357717;696569.95839939;1.24762001;203746.22026877;0.36492797;624547.62077277;1.11862147;5642848.16345278;10.10685319;558319
2004;Kärnten;477546.48594942;0.85515755;896333.32856393;1.60509235;1778417.29924290;3.18466793;903043.92797801;1.61710924;709047.56498710;1.26971383;204168.90803992;0.36561170;660309.62336089;1.18243726;5628867.13812216;10.07978987;558431
2005;Kärnten;344900.99318755;0.61689378;877750.56044291;1.56995448;1793565.17349018;3.20799075;917033.34443795;1.64021611;698224.32830617;1.24885185;234749.53625891;0.41987565;484618.95930435;0.86679490;5350842.89542801;9.57057752;559093
2006;Kärnten;365141.27518632;0.65267552;1108204.22023962;1.98087099;1695257.95021064;3.03020620;916476.83651699;1.63816592;691642.30812822;1.23628313;227721.81905830;0.40704370;556435.39420213;0.99460615;5560879.80354222;9.93985161;559453
2007;Kärnten;324254.91808017;0.57920350;1111306.33028842;1.98508175;1709863.60960147;3.05426051;753841.78387631;1.34655722;697168.69328187;1.24532436;231923.77558710;0.41427610;564787.72567218;1.00885757;5393146.83638751;9.63356103;559829
2008;Kärnten;349155.37129129;0.62380029;1135525.67058802;2.02872791;1606761.92112042;2.87063766;794110.92887225;1.41875701;709465.92707319;1.26753042;225796.18103429;0.40340701;539829.61306946;0.96445851;5360645.61304891;9.57731880;559723
2009;Kärnten;310556.40235643;0.55574298;959938.96180552;1.71781788;1569101.40101674;2.80791857;670097.56271291;1.19914455;703699.78138816;1.25927597;216907.18689530;0.38815702;311376.31978046;0.55721023;4741677.61595551;8.48526719;558813
2010;Kärnten;292101.20994180;0.52395118;957939.32890516;1.71828607;1628435.65853367;2.92097654;626125.66866856;1.12310141;696927.11136558;1.25010020;209402.00000519;0.37561099;391740.83486782;0.70267792;4802671.81228778;8.61470432;557497
2011;Kärnten;285593.93541190;0.51329073;1013823.15754270;1.82211862;1576218.30058198;2.83289714;570498.48392010;1.02534244;699945.92905162;1.25799505;201472.89148618;0.36210211;391347.82006505;0.70335950;4738900.51805953;8.51710559;556398
2012;Kärnten;244886.09640266;0.44063996;971122.80713589;1.74740632;1575936.77275000;2.83568860;524430.22260722;0.94364243;684231.92756238;1.23118434;190570.23586076;0.34290579;417452.72000417;0.75115064;4608630.78232308;8.29261807;555751
2013;Kärnten;325628.36301032;0.58609577;1021735.13137178;1.83901253;1645322.79703288;2.96140276;531820.90535590;0.95722000;681059.64826011;1.22583357;177729.73823150;0.31989427;432245.14756446;0.77799443;4815541.73082695;8.66745333;555589
2014;Kärnten;270200.56640421;0.48541611;929389.64358051;1.66965122;1596088.49446750;2.86737765;477978.29162267;0.85868940;690263.14426000;1.24005976;170732.04474634;0.30672062;461242.36322241;0.82862326;4595894.54830363;8.25653801;556637
2015;Kärnten;308093.75004205;0.55153443;915742.90815507;1.63931836;1624355.37945072;2.90784190;474802.71394832;0.84996870;680100.41396883;1.21748264;163052.11262360;0.29188795;490194.89420381;0.87752303;4656342.17239239;8.33555701;558612
2016;Kärnten;294962.62910487;0.52568732;925809.81359706;1.64999370;1657658.63646063;2.95430688;450674.78065569;0.80320011;689857.39249873;1.22947536;153418.58166758;0.27342516;487474.90653533;0.86878591;4659856.74051990;8.30487443;561099
2017;Kärnten;300791.28927379;0.53631134;967322.97018801;1.72473838;1704841.09448879;3.03973436;470244.88210658;0.83844737;683816.37359482;1.21924567;147800.78276234;0.26352903;441709.40366437;0.78756856;4716526.79607870;8.40957471;560852
2018;Kärnten;211695.71741033;0.37749755;991247.52170317;1.76760075;1748862.43971145;3.11858592;441882.69367429;0.78796886;676841.57114005;1.20694947;142492.21990832;0.25409330;505270.08745834;0.90100178;4718292.25100595;8.41369763;560787
2019;Kärnten;152472.18803680;0.27175640;986487.83033384;1.75825101;1754763.60629855;3.12757522;453343.34404298;0.80800935;676039.13035832;1.20492767;138049.28361104;0.24604996;516958.09948002;0.92139211;4678113.48216155;8.33796173;561062
1990;Niederösterreich;6583503.45782326;4.49757374;2584575.40371775;1.76567363;2986704.69682148;2.04039152;2576569.81646544;1.76020455;2555461.95996769;1.74578455;1082230.97422389;0.73933486;25161.88591570;0.01718955;18394208.19493520;12.56615238;1463790
1991;Niederösterreich;6368151.89691771;4.30517027;2785520.60321398;1.88314297;3306001.22026485;2.23501235;2925842.56348941;1.97800722;2523522.44066474;1.70601989;1105079.98981535;0.74708606;34964.14660351;0.02363741;19049082.86096960;12.87807617;1479187
1992;Niederösterreich;5349067.22027128;3.57699519;2691920.83973846;1.80012467;3297631.96903712;2.20517208;2730950.44003224;1.82622431;2427227.03029823;1.62312027;1112487.08601716;0.74393549;35883.79602260;0.02399599;17645168.38141710;11.79956800;1495408
1993;Niederösterreich;6118417.09153222;4.05671394;2417929.44244875;1.60316760;3328874.39802738;2.20715439;2777736.64203819;1.84173174;2396949.18461461;1.58925699;1103937.85859684;0.73194750;80202.16870417;0.05317670;18224046.78596220;12.08314887;1508220
1994;Niederösterreich;5603866.99024075;3.69783350;2730115.32372554;1.80152597;3341778.30385989;2.20514509;2475459.96381850;1.63348609;2382578.98268118;1.57219656;1094854.78570414;0.72246374;90253.98894624;0.05955606;17718908.33897620;11.69220701;1515446
1995;Niederösterreich;5853761.83925056;3.84954584;2566361.87005882;1.68768869;3400488.66151096;2.23622644;2786303.58607707;1.83232658;2406643.54076952;1.58265486;1059120.06003413;0.69649763;116490.74090679;0.07660654;18189170.29860780;11.96154657;1520637
1996;Niederösterreich;5911050.70258547;3.87982345;2685317.28991036;1.76255585;3728206.82241438;2.44707498;3282870.07844526;2.15477027;2388006.50866007;1.56741062;1023910.74475553;0.67206206;131831.69627396;0.08653008;19151193.84304500;12.57022732;1523536
1997;Niederösterreich;6128118.13572476;4.01697884;2462545.06032114;1.61419724;3511309.19721502;2.30166169;2839512.64067812;1.86129933;2396410.84508445;1.57084629;979362.65738007;0.64197181;151038.86667438;0.09900591;18468297.40307790;12.10596112;1525554
1998;Niederösterreich;5681298.33787234;3.71616939;2511645.81672976;1.64288174;3942206.60754892;2.57861965;2796863.89079835;1.82944449;2390821.77461318;1.56385005;931808.25592413;0.60950105;172345.93824195;0.11273245;18426990.62172860;12.05319882;1528805
1999;Niederösterreich;4887214.46265864;3.18817320;2765553.15295042;1.80410795;3806166.41640919;2.48295176;2934301.68774939;1.91419101;2367866.80958337;1.54467735;933045.70634683;0.60867215;180473.80458928;0.11773204;17874622.04028710;11.66050547;1532920
2000;Niederösterreich;5296302.76154038;3.44527412;2755436.57978765;1.79242667;4004903.91893067;2.60521206;2607067.61628635;1.69591184;2326482.12531548;1.51338944;884932.10504315;0.57565321;169355.76703814;0.11016686;18044480.87394180;11.73803419;1537266
2001;Niederösterreich;6052153.15478732;3.92478835;2675919.22216592;1.73531904;4287834.49539100;2.78063731;3001313.23451645;1.94633528;2316403.01143291;1.50217473;850383.61269346;0.55146914;202079.52503273;0.13104747;19386086.25601980;12.57177133;1542033
2002;Niederösterreich;6058820.46493842;3.91643852;2961435.43767369;1.91428016;4744122.99206979;3.06661439;2730727.07739094;1.76514963;2286634.64763037;1.47808704;835206.75938658;0.53987999;224396.05904991;0.14505024;19841343.43813970;12.82549997;1547023
2003;Niederösterreich;7472951.56219319;4.81226789;2912244.05717193;1.87536323;5109974.33967903;3.29060951;2865022.78071640;1.84495470;2221759.62970506;1.43072017;842972.38406548;0.54283892;219756.95790148;0.14151428;21644681.71143260;13.93826870;1552896
2004;Niederösterreich;7687944.11497563;4.91898405;2964837.09934164;1.89699433;5214693.10311769;3.33652168;2810884.23296458;1.79849053;2214940.38321557;1.41718725;869568.70802928;0.55637691;219086.08188595;0.14017804;21981953.72353030;14.06473279;1562913
2005;Niederösterreich;7869115.43162271;4.99773612;2926722.95615594;1.85878440;5307734.71470823;3.37098340;2751041.48061768;1.74720774;2195441.37643479;1.39434181;802778.56891329;0.50985088;255123.47764488;0.16203090;22107958.00609750;14.04093524;1574536
2006;Niederösterreich;7691849.24322660;4.85435651;2970090.19244516;1.87443568;5035090.68460572;3.17766566;2695280.18681491;1.70100200;2183838.98084656;1.37822943;761453.55945204;0.48055636;232891.56495967;0.14697879;21570494.41235070;13.61322441;1584525
2007;Niederösterreich;7542697.48506693;4.73638775;3044739.04260403;1.91192405;5097632.45661278;3.20102509;2213936.91399286;1.39022726;2183447.81992714;1.37108183;713218.98485210;0.44786121;243403.39296990;0.15284357;21039076.09602580;13.21135077;1592500
2008;Niederösterreich;6862695.73946695;4.29013671;3116172.70455888;1.94804016;4784544.50814307;2.99100395;2300101.41651209;1.43788242;2258539.66645957;1.41190056;654976.26904713;0.40945102;254082.24390536;0.15883664;20231112.54809310;12.64725145;1599645
2009;Niederösterreich;5993246.89622621;3.73508529;3086005.31531178;1.92324683;4662096.13106545;2.90549130;2187011.42519689;1.36297976;2219551.44523652;1.38325921;760500.05915652;0.47395554;268287.36793733;0.16720089;19176698.64013070;11.95121882;1604581
2010;Niederösterreich;6734628.28726434;4.18969203;3103750.40426311;1.93087989;4849092.29569980;3.01667776;2311452.13681096;1.43798176;2137077.60622281;1.32950129;791702.94570762;0.49252778;280876.77615994;0.17473677;20208580.45212860;12.57199729;1607428
2011;Niederösterreich;6871941.45560103;4.26329512;3046078.76349711;1.88976184;4670527.04637821;2.89755600;1990532.46246160;1.23490973;2200250.46690018;1.36501702;772479.15052157;0.47923962;285495.29332575;0.17711890;19837304.63868540;12.30689822;1611885
2012;Niederösterreich;6063465.87576715;3.75177094;3031246.04913998;1.87558421;4659449.66714678;2.88303558;1837697.44983917;1.13707573;2138062.92187068;1.32292694;754966.50345384;0.46713570;294415.38148642;0.18216959;18779303.84870400;11.61969869;1616161
2013;Niederösterreich;6168091.51665345;3.80401446;3140315.84318279;1.93671038;4896966.47171466;3.02008023;1872814.86848344;1.15501121;2103521.43330825;1.29729365;677628.99521460;0.41791055;292949.32437518;0.18066909;19152288.45293240;11.81168956;1621469
2014;Niederösterreich;5010705.38425589;3.07187192;3196252.19414332;1.95950003;4761939.79321390;2.91936325;1662791.53511501;1.01939392;2191735.71166363;1.34366938;700458.93024678;0.42942459;298781.50073123;0.18317152;17822665.04936980;10.92639461;1631157
2015;Niederösterreich;5257964.90412588;3.20022015;3281167.28975403;1.99705739;4856274.33222804;2.95573425;1677682.83580012;1.02110883;2164781.69704999;1.31757783;693638.23387889;0.42217761;315835.16884567;0.19223066;18247344.46168260;11.10610673;1643001
2016;Niederösterreich;4870020.90389486;2.93178889;3078744.68598958;1.85342725;5056945.97268870;3.04431917;1815028.60595340;1.09266075;2221942.75184098;1.33762610;695564.64776914;0.41873510;339975.28367755;0.20466765;18078222.85181420;10.88322491;1661109
2017;Niederösterreich;5076202.30378835;3.04396197;3088303.38549228;1.85191163;5206744.12296231;3.12224182;1838420.34987780;1.10241501;2167958.54969331;1.30002372;611512.66904784;0.36669565;363929.18947569;0.21823138;18353070.57033760;11.00548117;1667630
