year;280_linear;280_percentage;280_nochange;340_linear;340_linear_alt;340_nochange;510_linear;510_linear_alt;510_nochange;610_linear;610_linear_alt;610_nochange
2021;80;80;80;80;80;80;80;80;80;80;80;80
2022;70;62.4;80;71.5;69;80;74.1;73.3;80;75;74.5;80
2023;60;48.67;80;63;58;80;68.2;66.6;80;70;69;80
2024;50;37.96;80;54.5;47;80;62.3;59.9;80;65;63.5;80
2025;40;29.61;40;46;36;80;56.4;53.2;80;60;58;80
2026;30;23.1;0;37.5;25;20;50.5;46.5;80;55;52.5;80
2027;20;18.02;;29;14;0;44.6;39.8;80;50;47;80
2028;10;14.05;;20.5;12.9;;38.7;33.1;30;45;41.5;80
2029;0;10.96;;12;11.8;;32.8;26.4;0;40;36;50
2030;;8.55;;3.5;10.8;;26.9;19.7;;35;30.5;0
2031;;6.67;;0;9.7;;21;17.73;;30;27.45;
2032;;5.2;;;8.6;;15.1;15.76;;25;24.4;
2033;;4.06;;;7.5;;9.2;13.79;;20;21.35;
2034;;3.16;;;6.5;;3.3;11.82;;15;18.3;
2035;;2.47;;;5.4;;0;9.85;;10;15.25;
2036;;1.93;;;4.3;;;7.88;;5;12.2;
2037;;1.5;;;3.2;;;5.91;;0;9.15;
2038;;1.17;;;2.2;;;3.94;;;6.1;
2039;;0.91;;;1.1;;;1.97;;;3.05;
2040;;0;;;0;;;0;;;0;