year;mean_temperature_austria
1768;6.4
1769;7.4
1770;6.8
1771;5.9
1772;7.8
1773;7
1774;6.5
1775;7.1
1776;5.7
1777;6.5
1778;7.7
1779;7.6
1780;6.4
1781;7.9
1782;6.4
1783;7.8
1784;5.8
1785;5.2
1786;5.9
1787;7.1
1788;6.6
1789;6.8
1790;7.6
1791;8
1792;7.6
1793;7.6
1794;8.3
1795;7.3
1796;7.5
1797;8.6
1798;7
1799;5.8
1800;7.5
1801;7.9
1802;7.3
1803;6.8
1804;7.3
1805;5.5
1806;8.2
1807;7.7
1808;6.2
1809;7.4
1810;7.5
1811;8.4
1812;6
1813;6.4
1814;6
1815;6.3
1816;5.7
1817;7.1
1818;7.1
1819;7.6
1820;6.6
1821;7.3
1822;8.7
1823;7
1824;7.6
1825;7.5
1826;7.4
1827;7.3
1828;7.4
1829;5.2
1830;6.2
1831;7.1
1832;6.7
1833;6.8
1834;8.2
1835;6.7
1836;7.3
1837;5.9
1838;5.5
1839;6.7
1840;5.5
1841;7.7
1842;6.3
1843;7
1844;6.2
1845;6.1
1846;8.1
1847;6.2
1848;7
1849;6.5
1850;6.4
1851;6
1852;7.3
1853;6.2
1854;6.5
1855;6.3
1856;6.8
1857;6.9
1858;5.9
1859;7.4
1860;6
1861;7
1862;8
1863;8.1
1864;5.7
1865;7
1866;7.3
1867;7.1
1868;7.9
1869;7.4
1870;5.9
1871;5.7
1872;8.2
1873;7.5
1874;6.5
1875;6
1876;6.7
1877;7.1
1878;6.7
1879;5.8
1880;7
1881;6.5
1882;7.2
1883;6.4
1884;6.8
1885;6.9
1886;7
1887;6
1888;6.1
1889;6.2
1890;6.2
1891;6.1
1892;6.6
1893;6.5
1894;6.7
1895;6.4
1896;6.3
1897;7
1898;7.7
1899;6.9
1900;7.6
1901;6.6
1902;6.7
1903;6.9
1904;7.3
1905;6.9
1906;6.8
1907;6.8
1908;6.3
1909;6.3
1910;7.1
1911;7.5
1912;6.5
1913;6.9
1914;6.6
1915;6.9
1916;7.6
1917;6.5
1918;7.2
1919;6.4
1920;7.7
1921;7.7
1922;6.5
1923;7.4
1924;6.6
1925;6.8
1926;7.7
1927;7.4
1928;7.6
1929;6.5
1930;7.7
1931;6.5
1932;7.1
1933;6.3
1934;8.1
1935;7.1
1936;7.4
1937;7.4
1938;7.1
1939;7
1940;5.7
1941;6.2
1942;6.8
1943;7.7
1944;6.9
1945;7.6
1946;7.8
1947;7.9
1948;7.8
1949;7.9
1950;8
1951;8
1952;7.1
1953;7.6
1954;6.6
1955;6.8
1956;6.1
1957;7.6
1958;7.5
1959;7.9
1960;7.5
1961;8
1962;6.4
1963;6.6
1964;7.2
1965;6.6
1966;7.8
1967;7.7
1968;7.3
1969;7
1970;6.9
1971;7.3
1972;7.2
1973;7.1
1974;7.9
1975;7.8
1976;7.4
1977;7.9
1978;6.7
1979;7.4
1980;6.7
1981;7.5
1982;8
1983;8.1
1984;7.2
1985;7
1986;7.3
1987;7.2
1988;8.1
1989;8.2
1990;8.2
1991;7.3
1992;8.6
1993;8
1994;9.3
1995;8
1996;7.1
1997;8.2
1998;8.4
1999;8.3
2000;9.1
2001;8.4
2002;9.1
2003;8.6
2004;8
2005;7.7
2006;8.3
2007;9.1
2008;9
2009;8.8
2010;8
2011;8.9
2012;8.8
2013;8.6
2014;9.8
2015;9.5
2016;9.2
2017;9
2018;9.9
2019;9.7
2020;9.3
2021;8.5
2022;8.6