id;Synopstationsnummer;name;longitude;latitude;height;Startdatum;Enddatum;Bundesland;Sonnenschein;Globalstrahlung;Synop;Verknüpfungsnummer;Startdatum Teilzeitreihe;Enddatum Teilzeitreihe;zusammengesetzt
3;11019;ALLENTSTEIG;15.366944;48.690834;599.0;1983-10-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
4;11018;AMSTETTEN;14.895;48.108891;266.0;1936-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
6;11218;BAD BLEIBERG;13.684444;46.625278;908.7;1896-01-01;2100-12-31;KNT;ja;ja;keine Synopmeldung;;;;ja
7;11372;BAD GASTEIN;13.133333;47.110554;1092.0;1935-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
11;11264;BAD RADKERSBURG;15.993333;46.692223;207.0;1972-04-01;2100-12-31;STMK;ja;ja;Synopmeldung wurde eingestellt;;;;ja
14;11141;BISCHOFSHOFEN;13.221111;47.406666;550.0;1936-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
15;11101;BREGENZ;9.746111;47.499168;424.0;1936-01-01;2100-12-31;VBG;ja;ja;Synopmeldung;;;;ja
16;11129;BRENNER;11.510834;47.007221;1412.0;1948-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
17;11175;BRUCK/MUR;15.249722;47.405556;482.0;1895-01-01;2100-12-31;STMK;ja;nein;Synopmeldung;;;;ja
18;11394;BRUCKNEUDORF;16.844999;48.012779;165.6;1939-01-01;2100-12-31;BGL;ja;ja;keine Synopmeldung;;;;ja
20;11118;EHRWALD;10.92;47.404167;982.0;1972-08-01;2100-12-31;TIR;ja;ja;keine Synopmeldung;;;;ja
21;11234;BAD EISENKAPPEL;14.593333;46.490555;623.0;1967-03-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
22;11190;EISENSTADT-NORDOST;16.538334;47.854168;184.0;1936-01-01;2100-12-31;BGL;ja;ja;Synopmeldung;;;;ja
24;11105;FELDKIRCH;9.609722;47.271111;438.4;1895-07-01;2100-12-31;VBG;ja;ja;Synopmeldung;;;;ja
26;11068;FREISTADT;14.506389;48.49472;539.0;1895-07-01;2100-12-31;OOE;nein;ja;keine Synopmeldung;;;;ja
28;11312;GALTUER;10.185555;46.968056;1587.0;1989-04-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
30;11290;GRAZ-UNIVERSITAET;15.448889;47.077778;367.0;1894-01-01;2100-12-31;STMK;ja;ja;Synopmeldung;;;;ja
31;11037;GROSS-ENZERSDORF;16.559166;48.199722;154.0;1936-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
32;11082;GUMPOLDSKIRCHEN;16.280834;48.035831;212.0;1948-05-01;2100-12-31;NOE;;;Synopmeldung;;;;ja
36;11385;HOHE WAND/HOCHKOGELHAUS;16.035;47.822224;936.9;1991-05-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
37;11334;SCHOENGRABERN;16.061666;48.603333;253.0;1973-04-14;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
39;11320;INNSBRUCK-UNIV.;11.384167;47.259998;578.0;1877-01-01;2100-12-31;TIR;ja;ja;keine Synopmeldung;;;;ja
43;11200;KALS;12.646389;47.004723;1352.4;1951-05-01;2100-12-31;TIR;ja;ja;keine Synopmeldung;;;;ja
44;11362;KALWANG;14.759722;47.421391;744.0;1966-12-01;2100-12-31;STMK;ja;ja;Synopmeldung;;;;ja
48;11231;KLAGENFURT-FLUGHAFEN;14.318334;46.648335;450.0;1950-04-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
49;11192;KLEINZICKEN;16.335556;47.2075;265.0;1978-01-01;2100-12-31;BGL;ja;ja;Synopmeldung;;;;ja
50;11112;LANDECK;10.563611;47.140278;796.0;1946-02-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
51;11030;LANGENLEBARN;16.118055;48.323891;175.0;1963-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
52;11075;LANGENLOIS;15.697222;48.4725;207.0;1965-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
56;11060;LINZ-STADT;14.285277;48.296391;262.0;1895-07-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
57;11021;LITSCHAU;15.038333;48.954723;558.0;1954-07-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
58;11393;LUTZMANNSBURG;16.645555;47.465279;201.0;1995-01-01;2100-12-31;BGL;ja;ja;Synopmeldung;;;;ja
61;11330;MAYRHOFEN;11.851666;47.162498;640.0;1936-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
66;11127;OBERGURGL;11.024445;46.866943;1941.0;1953-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
67;11083;LEISER BERGE;16.371666;48.558887;457.0;1948-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
68;11149;OBERTAUERN;13.559722;47.24889;1772.0;1971-06-08;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
69;11262;OBERVELLACH;13.194445;46.935276;688.0;1970-09-01;2100-12-31;KNT;ja;ja;keine Synopmeldung;;;;ja
70;11032;POYSDORF-OST;16.637501;48.669167;198.0;1965-11-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
71;11214;PREITENEGG;14.915;46.938057;1034.0;1950-07-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
75;11051;BRAUNAU/RANSHOFEN;13.028334;48.224167;382.0;1961-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
76;11314;REUTTE;10.715278;47.494446;841.8;1936-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
78;11346;RAURIS;12.9925;47.22361;933.8;1875-09-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
80;11380;REICHENAU/RAX;15.836945;47.699722;488.0;1895-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
81;11022;RETZ/WINDMUEHLE;15.941667;48.761112;320.0;1946-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
82;11138;RUDOLFSHUETTE;12.625834;47.134998;2317.0;1961-08-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
83;11366;SAALBACH;12.648334;47.387779;975.0;1975-11-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
90;11229;ST.ANDRAE/LAVANTTAL;14.828055;46.764168;403.0;1961-01-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
91;11232;FEISTRITZ ob BLEIBURG;14.766666;46.558887;532.0;1961-01-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
92;11148;ST.MICHAEL/LUNGAU;13.622778;47.094444;1052.0;1968-12-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
95;11237;ST.VEIT/GLAN;14.385555;46.739166;463.0;1968-05-01;2100-12-31;KNT;ja;ja;Synopmeldung wurde eingestellt;;;;ja
97;11363;STOLZALPE;14.188334;47.123055;1291.0;1938-01-01;2100-12-31;STMK;ja;ja;keine Synopmeldung;;;;ja
98;11399;TAMSWEG;13.808333;47.133057;1025.0;1895-10-01;2100-12-31;SAL;ja;ja;keine Synopmeldung;;;;ja
100;11213;VILLACH-STADT;13.873889;46.618057;493.0;1930-01-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
103;11225;WEITENSFELD;14.190833;46.849167;704.0;1953-01-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
105;11035;WIEN/HOHE WARTE;16.356388;48.248611;198.0;1775-01-01;2100-12-31;WIE;ja;ja;Synopmeldung;;;;ja
107;11040;WIEN/UNTERLAA;16.419445;48.125;200.0;1963-10-01;2100-12-31;WIE;ja;ja;Synopmeldung;;;;ja
112;11182;WR.NEUSTADT/FLUGPLATZ;16.231388;47.832222;275.0;1948-09-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
116;11285;DEUTSCHLANDSBERG;15.226944;46.821667;354.0;1895-08-01;2100-12-31;STMK;ja;ja;Synopmeldung;;;;ja
119;11311;ST.ANTON AM ARLBERG;10.266666;47.13139;1304.1;1938-02-01;2100-12-31;TIR;ja;ja;keine Synopmeldung;;;;ja
121;11113;NAUDERS;10.496944;46.891109;1330.2;1958-06-01;2100-12-31;TIR;nein;ja;Synopmeldung;;;;ja
124;11166;SECKAU;14.778611;47.270832;872.0;1895-01-01;2100-12-31;STMK;ja;ja;keine Synopmeldung;;;;ja
129;11140;LOFER/ORT;12.695278;47.584446;622.0;1990-06-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
131;11150;SALZBURG-FLUGHAFEN;13.008333;47.789444;430.0;1874-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
132;11361;BAD ISCHL;13.647223;47.706112;507.0;1936-01-01;2100-12-31;OOE;ja;ja;keine Synopmeldung;;;;ja
133;11104;FRAXERN;9.674444;47.314167;807.0;1984-12-01;2100-12-31;VBG;ja;ja;keine Synopmeldung;;;;ja
134;11048;GAENSERNDORF-STADT;16.713612;48.337776;163.0;1989-01-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
137;11206;DOELLACH;12.9025;46.958057;1071.0;1926-08-01;2100-12-31;KNT;ja;ja;Synopmeldung wurde eingestellt;;;;ja
142;11130;KUFSTEIN;12.162778;47.575279;490.0;1905-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
144;11347;MICHELDORF;14.134444;47.883057;459.0;1971-01-01;2100-12-31;OOE;ja;ja;keine Synopmeldung;;;;ja
145;11350;SALZBURG-FREISAAL;13.054167;47.791111;419.0;1987-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
146;11315;HOLZGAU;10.338611;47.2575;1092.0;1936-01-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
148;11025;WEITRA;14.898611;48.702221;572.0;1936-01-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
150;11272;SPITTAL/DRAU;13.487223;46.790554;542.0;1977-04-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
151;11266;ACHENKIRCH CAMPINGPLATZ;11.706667;47.499443;931.0;1987-08-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
152;11335;LAA/TH.KLAERANLAGE;16.389723;48.731388;184.0;1952-01-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
154;11246;FUERSTENFELD;16.080833;47.030834;271.0;1936-01-01;2100-12-31;STMK;ja;ja;keine Synopmeldung;;;;ja
155;11376;OBERNDORF/MELK;15.213889;48.0625;295.0;1977-11-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
157;11007;KOLLERSCHLAG;13.839167;48.602779;714.0;1895-07-01;2100-12-31;OOE;ja;ja;keine Synopmeldung;;;;ja
158;11333;HOHENAU;16.904444;48.61639;154.0;1948-01-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
161;11050;REICHENAU/MUEHLKREIS;14.345555;48.459167;689.0;1972-10-01;2100-12-31;OOE;ja;ja;keine Synopmeldung;;;;ja
163;11153;MONDSEE;13.347222;47.850834;481.0;1936-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
164;11079;BERNDORF;16.10111;47.939167;337.0;1992-11-01;2100-12-31;NOE;nein;ja;keine Synopmeldung;;;;ja
165;11369;ABTENAU;13.343333;47.566666;709.0;1963-08-01;2100-12-31;SAL;ja;ja;keine Synopmeldung;;;;ja
167;11177;MUERZZUSCHLAG;15.672778;47.602222;705.0;1948-01-01;2100-12-31;STMK;ja;ja;Synopmeldung wurde eingestellt;;;;ja
169;11381;POTTSCHACH;16.008055;47.700832;416.0;1961-04-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
170;11188;ASPANG;16.101389;47.575001;454.0;1948-04-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
172;11303;SCHOPPERNAU;10.017777;47.31139;839.0;1948-01-01;2100-12-31;VBG;ja;ja;keine Synopmeldung;;;;ja
173;11306;SCHROECKEN;10.086111;47.261665;1244.0;1895-10-01;2100-12-31;VBG;ja;ja;Synopmeldung;;;;ja
174;11187;MITTELBERG;10.1525;47.323334;1204.0;1994-06-01;2100-12-31;VBG;ja;ja;keine Synopmeldung;;;;ja
175;11120;INNSBRUCK-FLUGPLATZ;11.356667;47.259998;578.0;1951-06-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
178;11339;HOCHFILZEN;12.621111;47.470276;962.0;2001-09-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
183;11198;GUESSING;16.321945;47.0625;215.3;1948-01-01;2100-12-31;BGL;ja;ja;keine Synopmeldung;;;;ja
184;11316;PITZTALER GLETSCHER;10.879167;46.926945;2863.9;1989-03-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
186;11222;FLATTNITZ;14.036111;46.940834;1437.0;1970-09-01;2100-12-31;KNT;nein;ja;keine Synopmeldung;;;;ja
187;11228;FRIESACH;14.405833;46.958611;640.0;1958-05-01;2100-12-31;KNT;ja;ja;Synopmeldung wurde eingestellt;;;;ja
189;11054;MELK;15.331388;48.209721;307.0;1974-08-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
192;11374;WACHTBERG BEI STEYR;14.461111;48.047501;384.0;1985-04-01;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
196;11126;PATSCHERKOFEL;11.462222;47.208889;2251.0;1940-08-01;2100-12-31;TIR;ja;ja;Synopmeldung;;;;ja
197;11387;SEIBERSDORF;16.504999;47.976387;185.0;1961-06-01;2100-12-31;NOE;ja;ja;Synopmeldung;;;;ja
198;11278;POERTSCHACH;14.165277;46.630833;450.0;1978-05-01;2100-12-31;KNT;ja;ja;Synopmeldung;;;;ja
200;11247;GLEISDORF;15.708055;47.115555;377.0;1961-01-01;2100-12-31;STMK;nein;ja;keine Synopmeldung;;;;ja
202;11392;WOERTERBERG;16.096666;47.226112;404.0;1929-07-01;2100-12-31;BGL;ja;ja;keine Synopmeldung;;;;ja
204;11012;KREMSMUENSTER (TAWES);14.131111;48.055;382.0;1874-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
205;11155;FEUERKOGEL;13.717778;47.816666;1618.1;1928-01-01;2100-12-31;OOE;ja;ja;Synopmeldung;;;;ja
206;11217;LOIBL/TUNNEL;14.249166;46.44389;1097.0;1959-01-01;2100-12-31;KNT;ja;ja;keine Synopmeldung;;;;ja
210;11317;ST.LEONHARD/PITZTAL;10.865556;47.027222;1454.4;1967-01-01;2100-12-31;TIR;nein;ja;keine Synopmeldung;;;;ja
213;11343;SONNBLICK (TAWES);12.9575;47.054165;3109.0;1886-01-01;2100-12-31;SAL;ja;ja;Synopmeldung;;;;ja
215;11064;GARS/Kamp;15.7;48.591946;273.0;1999-03-10;2100-12-31;NOE;ja;ja;keine Synopmeldung;;;;ja
217;11176;KAPFENBERG-FLUGFELD;15.335556;47.458332;515.0;1997-03-01;2100-12-31;STMK;ja;ja;Synopmeldung;;;;ja
218;11395;ANDAU;17.035555;47.77;117.0;1995-08-01;2100-12-31;BGL;ja;ja;Synopmeldung;;;;ja