year;annualtemp
1958;6.97
1959;7.63
1960;7.14
1961;7.78
1962;5.82
1963;6.24
1964;6.92
1965;6.19
1966;6.73
1967;6.88
1968;6.84
1969;6.82
1970;6.65
1971;7.16
1972;7.28
1973;6.91
1974;7.78
1975;7.22
1976;7.25
1977;7.76
1978;6.68
1979;7.23
1980;6.21
1981;6.74
1982;7.77
1983;7.67
1984;6.64
1985;6.6
1986;7.02
1987;6.8
1988;7.61
1989;7.55
1990;7.55
1991;6.76
1992;7.94
1993;7.62
1994;8.83
1995;7.39
1996;7.01
1997;8.04
1998;7.91
1999;7.81
2000;8.85
2001;8.05
2002;9.21
2003;8.91
2004;8.18
2005;7.82
2006;8.72
2007;9.38
2008;8.97
2009;8.79
2010;7.9
2011;9.59
2012;8.76
2013;8.62
2014;10.13
2015;9.84
2016;9.32
2017;9.08
2018;10.16
2019;9.75
2020;null