Jahr,Tonnen,1000Euro,Euro/Tonne
2022,85033742,58060267,"682,79"
2021,79378013,34161067,"430,36"
2020,84659661,24030900,"283,85"
2019,85823715,36372149,"423,80"
2018,84835226,38167376,"449,90"
2017,89985953,32051259,"356,18"
2016,91752619,25967242,"283,01"
2015,90357349,32821145,"363,24"
2014,87535385,49456790,"564,99"
2013,93033406,56992623,"612,60"
2012,92761979,59724713,"643,85"
2011,87948548,51219582,"582,38"
2010,91292311,39699879,"434,87"
2009,97375178,30539371,"313,63"
2008,105579353,53370588,"505,50"
2007,105378700,39987958,"379,47"
2006,109229586,41407976,"379,09"
2005,114505713,35203536,"307,44"
2004,112609905,24991359,"221,93"
2003,111333278,21336245,"191,64"
2002,104353298,19854232,"190,26"
2001,104627025,21356288,"204,12"
2000,105007713,23793224,"226,59"
1999,103571607,12574346,"121,41"
1998,107891563,9389660,"87,03"
1997,99095547,12668469,"127,84"
1996,102990127,12263215,"119,07"
1995,100327508,9542045,"95,11"
1994,106844266,10556308,"98,80"
1993,99445824,10629923,"106,89"
1992,97308755,11230844,"115,41"